model,year,body_style,platform,bev,manufacturer,country
Abarth 500e,2023,Hatchback,,No,Stellantis,Italy
Abarth 600e,2024,Crossover SUV,"eCMP, CMP",No,Stellantis,Italy
Aletra L8,2025,MPV,Unknown,Yes,Aletra(produced byGeely),Indonesia
Alfa Romeo Junior,2024,Crossover SUV,"eCMP, CMP",No,Stellantis,Italy
Alpine A290,2024,Hatchback,AmpR Small,Yes,Alpine/Renault,France
Audi e-tron GT,2021,Sedan,J1[2],Yes,Audi,Germany
Audi A6 e-tron,2024,Sedan and Station wagon,PPE,Yes,Audi,Germany
Audi Q4 e-tron,2021,Crossover SUV,MEB[3],Yes,Audi,Germany
Audi Q6 e-tron,2024,Crossover SUV,PPE,Yes,Audi,Germany
BMW i4,2021,Liftback,CLAR[4],No,BMW,Germany
BMW i5,2023,Sedan,CLAR,No,BMW,Germany
BMW i5 Touring,2024,Station wagon,CLAR,No,BMW,Germany
BMW i7,2022,Sedan,CLAR,No,BMW,Germany
BMW iX,2021,Crossover SUV,iX[5],Yes,BMW,Germany
BMW iX1,2022,Crossover SUV,UKL2,No,BMW,Germany
BMW iX2,2023,Crossover SUV,UKL2,No,BMW,Germany
Cadillac Celestiq,2024,Liftback,BEV3,Yes,General Motors,United States
Cadillac Escalade IQ,2024,SUV,BT1,Yes,General Motors,United States
Cadillac Lyriq,2022,Crossover SUV,BEV3[6],Yes,General Motors,United States
Cadillac Optiq,2023,Crossover SUV,BEV3,Yes,General Motors,United States
Cadillac Vistiq,2025,Crossover SUV,BEV3,Yes,General Motors,United States
Chevrolet Blazer EV,2023,Crossover SUV,BEV3,Yes,General Motors,United States
Chevrolet Bolt,2025,Crossover SUV,BEV2,Yes,General Motors,United States
Chevrolet Captiva EV,2025,Crossover SUV,Tianyu D,No,General Motors(produced bySAIC-GM-Wuling),United States
Chevrolet Equinox EV,2024,Crossover SUV,BEV3,Yes,General Motors,United States
Chevrolet Express Max EV,2025,Van,,No,General Motors(produced bySAIC Motor),United States
Chevrolet Silverado EV,2023,Pickup truck,BT1,Yes,General Motors,United States
Chevrolet Spark EUV,2025,Mini SUV,Tianyu M,Yes,General Motors(produced bySAIC-GM-Wuling),United States
Chevrolet Spark EV,2022,Microcar hatchback,GSEV,Yes,General Motors(produced bySAIC-GM-Wuling),United States
CMC E300,2018,Van and Truck,,No,CMC,Taiwan
CMC ET35,2025,Truck,,Yes,CMC,Taiwan
Citroën e-Berlingo,2021,Van,EMP2,No,Stellantis,France
Citroën ë-C3 (Europe),2023,Hatchback,Smart Car,No,Stellantis,France
Citroën ë-C3 (India),2023,Hatchback,Smart Car,No,Stellantis,France
Citroën ë-C3 Aircross (Europe),2024,Crossover SUV,Smart Car,No,Stellantis,France
Citroën ë-C4,2021,Crossover SUV,eCMP,No,Stellantis,France
Citroën ë-C4 X,2022,Crossover SUV,eCMP,No,Stellantis,France
Citroën ë-C5 Aircross,2025,Crossover SUV,STLA Medium,No,Stellantis,France
Citroën ë-Jumper/Relay,2021,Van,,No,Stellantis,France
Citroën ë-Jumpy/Dispatch/SpaceTourer,2021,Van,EMP2,No,Stellantis,France
Cupra Born,2021,Hatchback,MEB,Yes,SEAT,Spain
Cupra Tavascan,2023,Crossover SUV,MEB,Yes,SEAT,Spain
Daihatsu eHijet Cargo/eAtral,2026,Van/microvan,DNGA,No,Toyota,Japan
DS 3 Crossback E-Tense,2019,Crossover SUV,eCMP,No,Stellantis,France
DS N°4,2025,Hatchback,EMP2 V3,No,Stellantis,France
DS N°8,2025,Crossover SUV,STLA Medium,Yes,Stellantis,France
Dodge Charger Daytona,2024,Liftback,STLA Large,No,Stellantis,United States
Dacia Spring Electric,2021,Hatchback,CMFA-EV[7],No,Dacia/Renault,Romania
Faraday Future FF 91,2023,Crossover SUV,,Yes,Faraday Future,United States
Fiat E-Ducato,2021,Van,,No,Stellantis,Italy
Fiat E-Scudo,2022,Van,EMP2,No,Stellantis,Italy
Fiat E-Ulysse,2022,MPV/minivan,EMP2,No,Stellantis,Italy
Fiat 500e,2020,Hatchback,,Yes,Stellantis,Italy
Fiat 600e,2023,Crossover SUV,"eCMP, CMP",No,Stellantis,Italy
Fiat Grande Panda,2024,Hatchback,Smart Car,No,Stellantis,Italy
Ford Capri EV,2024,Crossover SUV,MEB,Yes,Ford,United States
Ford E-Tourneo Custom,2023,MPV/minivan,Ford Pro,No,Ford,United States
Ford E-Transit,2021,Van,,No,Ford,United States
Ford E-Transit Courier,2023,Van,Ford Global B-car,No,Ford,United States
Ford E-Transit Custom,2023,Van,Ford Pro,No,Ford,United States
Ford Mustang Mach-E,2020,Crossover SUV,GE1[8],Yes,Ford,United States
Ford Explorer EV,2024,Crossover SUV,MEB,Yes,Ford,United States
Ford Puma Gen-E,2024,Crossover SUV,Ford Global B-car,No,Ford,United States
Foxtron Bria,2025,Crossover SUV,Foxtron MIH,Yes,Foxtron,Taiwan
Foxtron Model C,2023,Crossover SUV,Foxtron MIH,Yes,Foxtron,Taiwan
Genesis Electrified G80,2021,Sedan,M3,No,Genesis Motor,South Korea
Genesis Electrified GV70,2022,Crossover SUV,M3,No,Genesis Motor,South Korea
Genesis GV60,2021,Crossover SUV,E-GMP[9],Yes,Genesis Motor,South Korea
GMC Sierra EV,2023,Pickup truck,BT1,Yes,General Motors,United States
GMC Hummer EV,2022,Pickup truck andSUV,BT1[10],Yes,General Motors,United States
Honda e:Ny1/e:N1,2023,Crossover SUV,e:N Architecture F,No,Honda,Japan
Honda e:N2/Insight,2026,Crossover SUV,e:N Architecture F,Yes,Honda,Japan
Honda N-One e:,2025,hatchback,,No,Honda,Japan
Honda N-Van e:,2024,Microvan,,No,Honda,Japan
Honda Prologue,2023,Crossover SUV,BEV3,Yes,Honda(produced byGeneral Motors),Japan
Hyundai Casper Electric/Inster,2024,Hatchback,Hyundai-Kia K1 BEV,No,Hyundai,South Korea
Hyundai Creta Electric,2025,Crossover SUV,Hyundai-Kia K2 BEV,No,Hyundai,South Korea
Hyundai Elexio,2025,Crossover SUV,E-GMP,Yes,Hyundai,South Korea
Hyundai Ioniq 5,2021,Crossover SUV,E-GMP[11],Yes,Hyundai,South Korea
Hyundai Ioniq 6,2022,Sedan,E-GMP,Yes,Hyundai,South Korea
Hyundai Ioniq 9,2025,Crossover SUV,E-GMP,Yes,Hyundai,South Korea
Hyundai Kona Electric,2019,Crossover SUV,Hyundai-Kia K3,No,Hyundai,South Korea
Hyundai Porter2 Electric,2019,Pickup truck,,No,Hyundai,South Korea
Hyundai ST1,2024,Pickup truck / cab chassis,Hyundai-Kia N3,No,Hyundai,South Korea
Isuzu D-Max EV,2025,Pickup truck,,No,Isuzu,Japan
Iveco eJolly,2025,Van,EMP2,No,Iveco(produced byStellantis),Italy
Iveco eMoovy,2024,Pickup truck / cab chassis,Hyundai-Kia N3,No,Iveco(produced byHyundai),Italy
Iveco eSuperJolly,2025,Van,,No,Iveco(produced byStellantis),Italy
Jeep Avenger,2023,Crossover SUV,eCMP / STLA Small,No,Stellantis,United States
