manufacturer,country,number_of_models,industry
Aletra(produced byGeely),Indonesia,1,Electric Vehicles
Alpine/Renault,France,1,Electric Vehicles
Audi,Germany,4,Electric Vehicles
Automobili Pininfarina,Germany/Italy,1,Electric Vehicles
BMW,Germany,7,Electric Vehicles
CMC,Taiwan,2,Electric Vehicles
Dacia/Renault,Romania,1,Electric Vehicles
Faraday Future,United States,1,Electric Vehicles
Ford,United States,8,Electric Vehicles
Foxtron,Taiwan,2,Electric Vehicles
General Motors,United States,11,Electric Vehicles
General Motors(produced bySAIC Motor),United States,1,Electric Vehicles
General Motors(produced bySAIC-GM-Wuling),United States,3,Electric Vehicles
Genesis Motor,South Korea,3,Electric Vehicles
Honda,Japan,4,Electric Vehicles
Honda(produced byGeneral Motors),Japan,1,Electric Vehicles
Hyundai,South Korea,9,Electric Vehicles
Isuzu,Japan,1,Electric Vehicles
Iveco(produced byHyundai),Italy,1,Electric Vehicles
Iveco(produced byStellantis),Italy,2,Electric Vehicles
KG Mobility,South Korea,3,Electric Vehicles
Kia,South Korea,10,Electric Vehicles
Lotus Cars,United Kingdom,2,Electric Vehicles
Lucid Motors,United States,2,Electric Vehicles
MAN Truck & Bus,Germany,1,Electric Vehicles
Mahindra,India,4,Electric Vehicles
Mazda,Japan,2,Electric Vehicles
Mercedes-Benz Group,Germany,11,Electric Vehicles
Mercedes-Benz Group(produced byRenault),Germany,2,Electric Vehicles
Mini/BMW,United Kingdom,3,Electric Vehicles
Mitsubishi Motors,Japan,1,Electric Vehicles
Mitsubishi Motors(produced byRenault),Japan,1,Electric Vehicles
Moskvitch,Russia,1,Electric Vehicles
NMKV,Japan,2,Electric Vehicles
Nissan,Japan,2,Electric Vehicles
Nissan(produced byRenault),Japan,2,Electric Vehicles
Perodua,Malaysia,1,Electric Vehicles
Polytron(produced bySkyworth Auto),Indonesia,1,Electric Vehicles
Porsche,Germany,3,Electric Vehicles
Proton(produced byGeely),Malaysia,2,Electric Vehicles
Renault,France,8,Electric Vehicles
Rimac Automobili,Croatia,1,Electric Vehicles
Rivian,United States,3,Electric Vehicles
Rolls-Royce,United Kingdom,1,Electric Vehicles
SEAT,Spain,2,Electric Vehicles
Smart Automobile(produced byGeely),Germany,3,Electric Vehicles
Stellantis,France,22,Electric Vehicles
Stellantis,Germany/United Kingdom,9,Electric Vehicles
Stellantis,Italy,13,Electric Vehicles
Stellantis,United States,3,Electric Vehicles
Subaru(produced byToyota),Japan,3,Electric Vehicles
Suzuki,Japan,1,Electric Vehicles
Suzuki(produced byToyota),Japan,1,Electric Vehicles
Tata Motors,India,1,Electric Vehicles
Tata Motors Passenger Vehicles,India,6,Electric Vehicles
"Tesla, Inc.",United States,6,Electric Vehicles
Togg,Turkey,2,Electric Vehicles
Toyota,Japan,8,Electric Vehicles
Toyota(produced byStellantis),Japan,3,Electric Vehicles
Toyota(produced bySuzuki),Japan,1,Electric Vehicles
VinFast,Vietnam,10,Electric Vehicles
Volkswagen,Germany,7,Electric Vehicles
Volkswagen Commercial Vehicles,Germany,1,Electric Vehicles
Volkswagen Commercial Vehicles(produced byFord),Germany,2,Electric Vehicles
Volvo Cars,Sweden,8,Electric Vehicles
Yulon Motors,Taiwan,1,Electric Vehicles
Škoda Auto,Czech Republic,2,Electric Vehicles
